WS_ID,Name,Primary_Ticker,Old_Yahoo_Symbol,New_Yahoo_Symbol,Old_Mapping_Status,New_Mapping_Status
WS:XPAR:CAPP.PA,CAP GEMINI,CAPP.PA,,CAP.PA,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XPAR:CARR.PA,CARREFOUR,CARR.PA,,CA.PA,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XPAR:CVO.PA,COVIVIO,CVO.PA,,COV.PA,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XPAR:DANO.PA,DANONE,DANO.PA,,BN.PA,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XPAR:DAST.PA,DASSAULT SYSTEMS,DAST.PA,,DSY.PA,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XPAR:ENGIE.PA,ENGIE,ENGIE.PA,,ENGI.PA,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XPAR:ESLX.PA,ESSILORLUXOTTICA,ESLX.PA,,EL.PA,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XPAR:EUFI.PA,EUROFINS SCIENTIFIC,EUFI.PA,,ERF.PA,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XPAR:EXHO.PA,SODEXO,EXHO.PA,,SW.PA,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XPAR:FOUG.PA,EIFFAGE,FOUG.PA,,FGR.PA,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XPAR:GETP.PA,Getlink,GETP.PA,,GET.PA,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XPAR:GFCP.PA,GECINA,GFCP.PA,,GFC.PA,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XPAR:HRMS.PA,HERMES INTERNATIONAL,HRMS.PA,,RMS.PA,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XPAR:LEGD.PA,LEGRAND,LEGD.PA,,LR.PA,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XPAR:LOIM.PA,KLEPIERRE,LOIM.PA,,LI.PA,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XPAR:LVMH.PA,LVMH MOET HENNESSY,LVMH.PA,,MC.PA,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XPAR:MICP.PA,MICHELIN,MICP.PA,,ML.PA,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XPAR:NEXS.PA,NEXANS,NEXS.PA,,NEX.PA,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XPAR:ORAN.PA,ORANGE,ORAN.PA,,ORA.PA,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XPAR:OREP.PA,L'OREAL,OREP.PA,,OR.PA,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XPAR:PERP.PA,PERNOD RICARD,PERP.PA,,RI.PA,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XPAR:PRTP.PA,Kering,PRTP.PA,,KER.PA,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XPAR:PUBP.PA,PUBLICIS GRP,PUBP.PA,,PUB.PA,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XPAR:RENA.PA,RENAULT,RENA.PA,,RNO.PA,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XPAR:RUBF.PA,RUBIS,RUBF.PA,,RUI.PA,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XPAR:SASY.PA,SANOFI,SASY.PA,,SAN.PA,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XPAR:SCHN.PA,SCHNEIDER ELECTRIC,SCHN.PA,,SU.PA,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XPAR:SCOR.PA,SCOR,SCOR.PA,,SCR.PA,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XPAR:SESFD.PA,SES,SESFd.PA,,SESG.PA,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XPAR:SGEF.PA,VINCI,SGEF.PA,,DG.PA,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XPAR:SGOB.PA,SAINT GOBAIN,SGOB.PA,,SGO.PA,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XPAR:SOGN.PA,GRP SOCIETE GENERALE,SOGN.PA,,GLE.PA,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XPAR:SOIT.PA,SOITEC,SOIT.PA,,SOI.PA,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XPAR:SOPR.PA,SOPRA STERIA GROUP,SOPR.PA,,SOP.PA,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XPAR:STDM.PA,SARTORIUS STEDIM BIOTECH,STDM.PA,,DIM.PA,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XPAR:TCFP.PA,THALES,TCFP.PA,,HO.PA,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XPAR:TEPRF.PA,TELEPERFORMANCE,TEPRF.PA,,TEP.PA,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XPAR:TTEF.PA,TOTALENERGIES,TTEF.PA,,TTE.PA,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
