WS_ID,Yahoo_Symbol,Name,Primary_MIC,Liquidity_Class,MedianTurnover20_EUR,Verified_Share_Class,Instrument_Bucket,Eligibility_DryRun,Universe_Write
WS:XPAR:HRMS.PA,RMS.PA,HERMES INTERNATIONAL,XPAR,PREFERRED,117531490.25,ordinary shares / actions ordinaires,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XPAR:RENA.PA,RNO.PA,RENAULT,XPAR,PREFERRED,35269426.98,ordinary shares / actions ordinaires,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XPAR:SASY.PA,SAN.PA,SANOFI,XPAR,PREFERRED,108641562.89,ordinary shares / actions ordinaires,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XPAR:SGOB.PA,SGO.PA,SAINT GOBAIN,XPAR,PREFERRED,60731124.59,ordinary shares / actions ordinaires,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XPAR:SOIT.PA,SOI.PA,SOITEC,XPAR,PREFERRED,28132617.0,ordinary shares / actions ordinaires,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XPAR:SCHN.PA,SU.PA,SCHNEIDER ELECTRIC,XPAR,PREFERRED,174036533.75,ordinary shares / actions ordinaires,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XPAR:TEPRF.PA,TEP.PA,TELEPERFORMANCE,XPAR,STANDARD,16463410.38,ordinary shares / actions ordinaires,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XPAR:TTEF.PA,TTE.PA,TOTALENERGIES,XPAR,PREFERRED,229567475.54,ordinary shares / actions ordinaires,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XPAR:VLLP.PA,VK.PA,VALLOUREC,XPAR,STANDARD,15271977.0,ordinary shares / actions ordinaires,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XSTO:ASSAB.ST,ASSA-B.ST,ASSA ABLOY,XSTO,PREFERRED,35673463.2,B share,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XSTO:ATCOA.ST,ATCO-A.ST,ATLAS COPCO A,XSTO,PREFERRED,63471330.51,A share,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XSTO:EPIRA.ST,EPI-A.ST,EPIROC A,XSTO,PREFERRED,29389936.23,A share,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XSTO:ERICB.ST,ERIC-B.ST,ERICSSON LM B,XSTO,PREFERRED,61054648.75,B share,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XSTO:ESSITYB.ST,ESSITY-B.ST,Essity B,XSTO,PREFERRED,27144264.83,B share,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XSTO:EVOG.ST,EVO.ST,EVOLUTION,XSTO,PREFERRED,43532308.65,ordinary shares,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XSTO:HEXAB.ST,HEXA-B.ST,HEXAGON B,XSTO,PREFERRED,28423581.76,B share,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XSTO:HMB.ST,HM-B.ST,HENNES & MAURITZ B,XSTO,PREFERRED,25104107.55,B share,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XSTO:INDUC.ST,INDU-C.ST,INDUSTRIVARDEN C,XSTO,STANDARD,15493243.88,C share,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XSTO:INVEB.ST,INVE-B.ST,INVESTOR B,XSTO,PREFERRED,80088394.71,B share,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XSTO:NIBEB.ST,NIBE-B.ST,NIBE INDUSTRIER B,XSTO,PREFERRED,22822740.14,B share,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XSTO:SAABB.ST,SAAB-B.ST,SAAB B,XSTO,PREFERRED,74420828.16,B share,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XSTO:SEBA.ST,SEB-A.ST,SKANDINAVISKA ENSKILDA BK A,XSTO,PREFERRED,38166503.58,A share,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XSTO:SHBA.ST,SHB-A.ST,SVENSKA HANDELSBANKEN A,XSTO,PREFERRED,42447716.14,A share,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XSTO:SKFB.ST,SKF-B.ST,SKF B,XSTO,STANDARD,19225304.35,B share,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XSTO:SSABB.ST,SSAB-B.ST,SSAB B,XSTO,PREFERRED,21572279.36,B share,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XSTO:SWEDA.ST,SWED-A.ST,SWEDBANK,XSTO,PREFERRED,44504316.03,A share,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XSTO:TEL2B.ST,TEL2-B.ST,TELE2 B,XSTO,PREFERRED,22563190.71,B share,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XSTO:VOLVB.ST,VOLV-B.ST,VOLVO B,XSTO,PREFERRED,84440231.0,B share,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XSWX:ALCC.S,ALC.SW,ALCON,XSWX,PREFERRED,68958012.79,registered shares,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XSWX:HBANC.S,HBAN.SW,HELVETIA BALOISE HLDG,XSWX,PREFERRED,21459686.21,registered shares,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XSWX:SRENH.S,SREN.SW,SWISS REINSURANCE COMPANY,XSWX,PREFERRED,92806516.29,registered shares,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XWAR:ALEP.WA,ALE.WA,ALLEGRO.EU,XWAR,PREFERRED,36132836.23,ordinary shares,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XWBO:ATSV.VI,ATS.VI,AT&S AUSTRIA TECH.&SYSTEMTECH,XWBO,STANDARD,16667722.72,ordinary shares,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XWBO:BAWG.VI,BG.VI,BAWAG GROUP AG,XWBO,STANDARD,15950643.35,ordinary shares,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XWBO:ERST.VI,EBS.VI,ERSTE GROUP BANK,XWBO,PREFERRED,28062525.74,ordinary shares,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XWBO:OMVV.VI,OMV.VI,OMV,XWBO,STANDARD,15196475.88,ordinary shares,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
