WS_ID,Gap_Family,Segment_ID,Primary_MIC,Primary_Ticker,Primary_Currency,Source_State,Source_Reason,Prior_Yahoo_Symbol,Candidate_Yahoo_Symbol,Static_Symbol_Relation,Diagnostic_Classification,Disposition,Recommended_Action,Auto_Fix_Safe,Candidate_Override,Terminal_Blocked,Network_Required_For_Next_Step
WS:XETR:G1AG.DE,MAPPING,EU_STOXX600,XETR,G1AG.DE,EUR,MAPPING_DOWNLOAD_NO_DATA,NO_DATA_IN_BATCH,G1AG.DE,G1AG.DE,EXACT,EXACT_PROVIDER_SYMBOL_NO_DATA,RETRY_DATA,CONTROLLED_RETRY_SAME_PROVIDER_SYMBOL_ONLY,False,,False,True
WS:XETR:G24N.DE,MAPPING,EU_STOXX600,XETR,G24n.DE,EUR,MAPPING_DOWNLOAD_NO_DATA,NO_DATA_IN_BATCH,G24n.DE,G24N.DE,CASE_ONLY,CASE_NORMALIZATION_SUSPECT,MANUAL_REVIEW,VERIFY_PRIMARY_LISTING_AND_PROVIDER_CASE_BEFORE_EXPLICIT_OVERRIDE,False,,False,True
WS:XETR:GBFG.DE,MAPPING,EU_STOXX600,XETR,GBFG.DE,EUR,MAPPING_DOWNLOAD_NO_DATA,NO_DATA_IN_BATCH,GBFG.DE,GBFG.DE,EXACT,EXACT_PROVIDER_SYMBOL_NO_DATA,RETRY_DATA,CONTROLLED_RETRY_SAME_PROVIDER_SYMBOL_ONLY,False,,False,True
WS:XETR:HAGG.DE,MAPPING,EU_STOXX600,XETR,HAGG.DE,EUR,MAPPING_DOWNLOAD_NO_DATA,NO_DATA_IN_BATCH,HAGG.DE,HAGG.DE,EXACT,EXACT_PROVIDER_SYMBOL_NO_DATA,RETRY_DATA,CONTROLLED_RETRY_SAME_PROVIDER_SYMBOL_ONLY,False,,False,True
WS:XETR:HEIG.DE,MAPPING,EU_STOXX600,XETR,HEIG.DE,EUR,MAPPING_DOWNLOAD_NO_DATA,NO_DATA_IN_BATCH,HEIG.DE,HEIG.DE,EXACT,EXACT_PROVIDER_SYMBOL_NO_DATA,RETRY_DATA,CONTROLLED_RETRY_SAME_PROVIDER_SYMBOL_ONLY,False,,False,True
WS:XETR:HNKG_P.DE,MAPPING,EU_STOXX600,XETR,HNKG_p.DE,EUR,MAPPING_DOWNLOAD_NO_DATA,NO_DATA_IN_BATCH,HNKG_p.DE,HNKG_P.DE,CASE_ONLY,CASE_NORMALIZATION_SUSPECT,MANUAL_REVIEW,VERIFY_PRIMARY_LISTING_AND_PROVIDER_CASE_BEFORE_EXPLICIT_OVERRIDE,False,,False,True
WS:XETR:HNRGN.DE,MAPPING,EU_STOXX600,XETR,HNRGn.DE,EUR,MAPPING_DOWNLOAD_NO_DATA,NO_DATA_IN_BATCH,HNRGn.DE,HNRGN.DE,CASE_ONLY,CASE_NORMALIZATION_SUSPECT,MANUAL_REVIEW,VERIFY_PRIMARY_LISTING_AND_PROVIDER_CASE_BEFORE_EXPLICIT_OVERRIDE,False,,False,True
WS:XETR:HOTG.DE,MAPPING,EU_STOXX600,XETR,HOTG.DE,EUR,MAPPING_DOWNLOAD_NO_DATA,NO_DATA_IN_BATCH,HOTG.DE,HOTG.DE,EXACT,EXACT_PROVIDER_SYMBOL_NO_DATA,RETRY_DATA,CONTROLLED_RETRY_SAME_PROVIDER_SYMBOL_ONLY,False,,False,True
WS:XETR:IFXGN.DE,MAPPING,EU_STOXX600,XETR,IFXGn.DE,EUR,MAPPING_DOWNLOAD_NO_DATA,NO_DATA_IN_BATCH,IFXGn.DE,IFXGN.DE,CASE_ONLY,CASE_NORMALIZATION_SUSPECT,MANUAL_REVIEW,VERIFY_PRIMARY_LISTING_AND_PROVIDER_CASE_BEFORE_EXPLICIT_OVERRIDE,False,,False,True
WS:XETR:LEGN.DE,MAPPING,EU_STOXX600,XETR,LEGn.DE,EUR,MAPPING_DOWNLOAD_NO_DATA,NO_DATA_IN_BATCH,LEGn.DE,LEGN.DE,CASE_ONLY,CASE_NORMALIZATION_SUSPECT,MANUAL_REVIEW,VERIFY_PRIMARY_LISTING_AND_PROVIDER_CASE_BEFORE_EXPLICIT_OVERRIDE,False,,False,True
WS:XETR:LHAG.DE,MAPPING,EU_STOXX600,XETR,LHAG.DE,EUR,MAPPING_DOWNLOAD_NO_DATA,NO_DATA_IN_BATCH,LHAG.DE,LHAG.DE,EXACT,EXACT_PROVIDER_SYMBOL_NO_DATA,RETRY_DATA,CONTROLLED_RETRY_SAME_PROVIDER_SYMBOL_ONLY,False,,False,True
