WS_ID,ISIN,Primary_MIC,Primary_Ticker,Yahoo_Symbol,Issuer,MedianTurnover20_EUR,Note
US1:US5500211090:XNAS,US5500211090,XNAS,LULU,LULU,Lululemon Athletica,333638823.22,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US55024U1097:XNAS,US55024U1097,XNAS,LITE,LITE,Lumentum Holdings,3180105491.4,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US55261F1049:XNYS,US55261F1049,XNYS,MTB,MTB,M&T Bank,167017293.68,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US56585A1025:XNYS,US56585A1025,XNYS,MPC,MPC,Marathon Petroleum,730947478.56,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US5719032022:XNAS,US5719032022,XNAS,MAR,MAR,Martifer,410761323.98,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US5732841060:XNYS,US5732841060,XNYS,MLM,MLM,Martin Marietta Materials,258855213.54,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US5738741041:XNAS,US5738741041,XNAS,MRVL,MRVL,Marvell Technology,4171661687.22,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US5745991068:XNYS,US5745991068,XNYS,MAS,MAS,Masco,114479561.71,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US57636Q1040:XNYS,US57636Q1040,XNYS,MA,MA,Mastercard,1377576870.2,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US5797802064:XNYS,US5797802064,XNYS,MKC,MKC,McCormick & Company,110567347.84,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US5801351017:XNYS,US5801351017,XNYS,MCD,MCD,McDonald's,953113854.7,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US58155Q1031:XNYS,US58155Q1031,XNYS,MCK,MCK,McKesson Corporation,683889929.1,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US58933Y1055:XNYS,US58933Y1055,XNYS,MRK,MRK,Merck KGaA,1152172853.09,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US30303M1027:XNAS,US30303M1027,XNAS,META,META,Meta Platforms,7785856567.99,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US59156R1086:XNYS,US59156R1086,XNYS,MET,MET,MetLife,222676678.32,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US5926881054:XNYS,US5926881054,XNYS,MTD,MTD,Mettler Toledo,179872822.3,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US5529531015:XNYS,US5529531015,XNYS,MGM,MGM,MGM Resorts International,66111894.43,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US5950171042:XNAS,US5950171042,XNAS,MCHP,MCHP,Microchip Technology,495597757.92,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US5951121038:XNAS,US5951121038,XNAS,MU,MU,Micron Technology,21957426608.75,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US5949181045:XNAS,US5949181045,XNAS,MSFT,MSFT,Microsoft,9617864327.39,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US60770K1079:XNAS,US60770K1079,XNAS,MRNA,MRNA,Moderna,2201529944.77,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US60871R2094:XNYS,US60871R2094,XNYS,TAP,TAP,Molson Coors Brewing Company,82186342.56,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US6092071058:XNAS,US6092071058,XNAS,MDLZ,MDLZ,Mondelez International,377038371.15,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US6098391054:XNAS,US6098391054,XNAS,MPWR,MPWR,Monolithic Power Systems,597315002.18,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US6153691059:XNYS,US6153691059,XNYS,MCO,MCO,Moody's Corporation,285595579.97,CLASS_A_CANDIDATE_NOT_UNIVERSE
