WS_ID,Yahoo_Symbol,Name,Primary_MIC,Primary_Currency,Scale,Usable20,MedianTurnover20_EUR,Liquidity_Class,Liquidity_Status,FX_Status,Last_Session
WS:XLON:BKGH.L,BKG.L,BERKELEY GRP HLDG,XLON,GBP,0.01,20,5989901.12,LOW_EXCEPTION,OK,RESOLVED,2026-09-03
WS:XLON:BPTB.L,BPT.L,BRIDGEPOINT GROUP,XLON,GBP,0.01,20,2934411.19,FAIL_LIQ,OK,RESOLVED,2026-09-03
WS:XLON:BT.L,BT-A.L,BT GRP,XLON,GBP,0.01,20,23273203.64,PREFERRED,OK,RESOLVED,2026-09-03
WS:XLON:HOCM.L,HOC.L,HOCHSCHILD MINING,XLON,GBP,0.01,20,12724001.85,LOW_EXCEPTION,OK,RESOLVED,2026-09-03
WS:XLON:ICAG.L,IAG.L,IAG,XLON,GBP,0.01,20,37950063.14,PREFERRED,OK,RESOLVED,2026-09-03
WS:XLON:ICGIN.L,ICG.L,ICG,XLON,GBP,0.01,20,16143130.19,STANDARD,OK,RESOLVED,2026-09-03
WS:XLON:MRON.L,MRO.L,MELROSE INDUSTRIES,XLON,GBP,0.01,20,20294081.81,PREFERRED,OK,RESOLVED,2026-09-03
WS:XLON:PAFR.L,PAF.L,PAN AFRICAN RESOURCES,XLON,GBP,0.01,20,8274634.04,LOW_EXCEPTION,OK,RESOLVED,2026-09-03
WS:XLON:PLUSP.L,PLUS.L,PLUS500,XLON,GBP,0.01,20,5144945.15,LOW_EXCEPTION,OK,RESOLVED,2026-09-03
WS:XLON:RS1R.L,RS1.L,RS Group,XLON,GBP,0.01,20,5857681.2,LOW_EXCEPTION,OK,RESOLVED,2026-09-03
WS:XLON:SHCS.L,SHC.L,SHAFTESBURY CAPITAL,XLON,GBP,0.01,20,7265857.27,LOW_EXCEPTION,OK,RESOLVED,2026-09-03
WS:XLON:SJP.L,STJ.L,ST.JAMES'S PLACE CAPITAL,XLON,GBP,0.01,20,27312332.82,PREFERRED,OK,RESOLVED,2026-09-03
WS:XLON:TCAPI.L,TCAP.L,TP ICAP,XLON,GBP,0.01,20,4761312.4,FAIL_LIQ,OK,RESOLVED,2026-09-03
WS:XMAD:AMA.MC,AMS.MC,AMADEUS IT GROUP,XMAD,EUR,1.0,20,29190654.56,PREFERRED,OK,IDENTITY,2026-09-03
WS:XMAD:ENAG.MC,ENG.MC,ENAGAS,XMAD,EUR,1.0,20,7512018.49,LOW_EXCEPTION,OK,IDENTITY,2026-09-03
WS:XMAD:GRLS.MC,GRF.MC,GRIFOLS,XMAD,EUR,1.0,20,10335758.32,LOW_EXCEPTION,OK,IDENTITY,2026-09-03
WS:XMAD:PUIGB.MC,PUIG.MC,PUIG BRANDS B,XMAD,EUR,1.0,20,7136834.3,LOW_EXCEPTION,OK,IDENTITY,2026-09-03
WS:XMAD:REDE.MC,RED.MC,Redeia Corporacion,XMAD,EUR,1.0,20,9833192.0,LOW_EXCEPTION,OK,IDENTITY,2026-09-03
WS:XMAD:SABE.MC,SAB.MC,BCO SABADELL,XMAD,EUR,1.0,20,57300037.35,PREFERRED,OK,IDENTITY,2026-09-03
WS:XMIL:A2.MI,A2A.MI,A2A,XMIL,EUR,1.0,20,15774108.29,STANDARD,OK,IDENTITY,2026-09-03
WS:XMIL:AZMT.MI,AZM.MI,AZIMUT HLDG,XMIL,EUR,1.0,20,13150612.76,LOW_EXCEPTION,OK,IDENTITY,2026-09-03
WS:XMIL:BCU.MI,BC.MI,BRUNELLO CUCINELLI,XMIL,EUR,1.0,20,13322298.31,LOW_EXCEPTION,OK,IDENTITY,2026-09-03
WS:XMIL:CPRI.MI,CPR.MI,DAVIDE CAMPARI,XMIL,EUR,1.0,20,24278902.38,PREFERRED,OK,IDENTITY,2026-09-03
WS:XMIL:CRDI.MI,UCG.MI,UNICREDIT,XMIL,EUR,1.0,20,241324342.3,PREFERRED,OK,IDENTITY,2026-09-03
