Projection_Order,Security_Key,Source_WS_ID,Primary_MIC,Primary_Ticker,Provider_Symbol,raw_bar_count,valid_bar_count,invalid_bar_count,invalid_share,affected_dates,defect_reasons,stale_status,suspicious_return_count,suspicious_return_status,higher_priority_blocker_status,canonical_qa_status,canonical_qa_reason,filtered_policy_result,old_cache_state,old_reason,proposed_cache_state,proposed_reason,state_change_reason
72,WSSEC:WS:ISIN:INE669C01036,WS:ISIN:INE669C01036,XNSE,TECHM,TECHM.NS,507,507,0,0.0,,,NOT_STALE,0,NONE,NONE,READY,,PASS_CLEAN,READY,,READY,,UNCHANGED
73,WSSEC:WS:ISIN:INE721A01047,WS:ISIN:INE721A01047,XNSE,SHRIRAMFIN,SHRIRAMFIN.NS,507,507,0,0.0,,,NOT_STALE,0,NONE,NONE,READY,,PASS_CLEAN,READY,,READY,,UNCHANGED
74,WSSEC:WS:ISIN:INE733E01010,WS:ISIN:INE733E01010,XNSE,NTPC,NTPC.NS,507,507,0,0.0,,,NOT_STALE,0,NONE,NONE,READY,,PASS_CLEAN,READY,,READY,,UNCHANGED
75,WSSEC:WS:ISIN:INE742F01042,WS:ISIN:INE742F01042,XNSE,ADANIPORTS,ADANIPORTS.NS,507,507,0,0.0,,,NOT_STALE,0,NONE,NONE,READY,,PASS_CLEAN,READY,,READY,,UNCHANGED
76,WSSEC:WS:ISIN:INE752E01010,WS:ISIN:INE752E01010,XNSE,POWERGRID,POWERGRID.NS,507,507,0,0.0,,,NOT_STALE,0,NONE,NONE,READY,,PASS_CLEAN,READY,,READY,,UNCHANGED
77,WSSEC:WS:ISIN:INE758E01017,WS:ISIN:INE758E01017,XNSE,JIOFIN,JIOFIN.NS,507,507,0,0.0,,,NOT_STALE,0,NONE,NONE,READY,,PASS_CLEAN,READY,,READY,,UNCHANGED
78,WSSEC:WS:ISIN:INE758T01015,WS:ISIN:INE758T01015,XNSE,ETERNAL,ETERNAL.NS,507,507,0,0.0,,,NOT_STALE,0,NONE,NONE,READY,,PASS_CLEAN,READY,,READY,,UNCHANGED
79,WSSEC:WS:ISIN:INE849A01020,WS:ISIN:INE849A01020,XNSE,TRENT,TRENT.NS,507,507,0,0.0,,,NOT_STALE,0,NONE,NONE,READY,,PASS_CLEAN,READY,,READY,,UNCHANGED
80,WSSEC:WS:ISIN:INE860A01027,WS:ISIN:INE860A01027,XNSE,HCLTECH,HCLTECH.NS,507,507,0,0.0,,,NOT_STALE,0,NONE,NONE,READY,,PASS_CLEAN,READY,,READY,,UNCHANGED
81,WSSEC:WS:ISIN:INE917I01010,WS:ISIN:INE917I01010,XNSE,BAJAJ-AUTO,BAJAJ-AUTO.NS,507,507,0,0.0,,,NOT_STALE,0,NONE,NONE,READY,,PASS_CLEAN,READY,,READY,,UNCHANGED
82,WSSEC:WS:ISIN:INE918I01026,WS:ISIN:INE918I01026,XNSE,BAJAJFINSV,BAJAJFINSV.NS,507,507,0,0.0,,,NOT_STALE,0,NONE,NONE,READY,,PASS_CLEAN,READY,,READY,,UNCHANGED
83,WSSEC:WS:ISIN:KYG022421088,WS:ISIN:KYG022421088,XTAI,3661,3661.TW,492,492,0,0.0,,,NOT_STALE,0,NONE,NONE,READY,,PASS_CLEAN,READY,,READY,,UNCHANGED
84,WSSEC:WS:ISIN:KYG114741062,WS:ISIN:KYG114741062,XTAI,3665,3665.TW,492,492,0,0.0,,,NOT_STALE,0,NONE,NONE,READY,,PASS_CLEAN,READY,,READY,,UNCHANGED
85,WSSEC:WS:ISIN:KYG989221000,WS:ISIN:KYG989221000,XTAI,4958,4958.TW,492,492,0,0.0,,,NOT_STALE,0,NONE,NONE,READY,,PASS_CLEAN,READY,,READY,,UNCHANGED
86,WSSEC:WS:ISIN:TW0001216000,WS:ISIN:TW0001216000,XTAI,1216,1216.TW,492,492,0,0.0,,,NOT_STALE,0,NONE,NONE,READY,,PASS_CLEAN,READY,,READY,,UNCHANGED
87,WSSEC:WS:ISIN:TW0001303006,WS:ISIN:TW0001303006,XTAI,1303,1303.TW,492,492,0,0.0,,,NOT_STALE,0,NONE,NONE,READY,,PASS_CLEAN,READY,,READY,,UNCHANGED
88,WSSEC:WS:ISIN:TW0002059003,WS:ISIN:TW0002059003,XTAI,2059,2059.TW,492,492,0,0.0,,,NOT_STALE,0,NONE,NONE,READY,,PASS_CLEAN,READY,,READY,,UNCHANGED
89,WSSEC:WS:ISIN:TW0002301009,WS:ISIN:TW0002301009,XTAI,2301,2301.TW,492,492,0,0.0,,,NOT_STALE,0,NONE,NONE,READY,,PASS_CLEAN,READY,,READY,,UNCHANGED
90,WSSEC:WS:ISIN:TW0002303005,WS:ISIN:TW0002303005,XTAI,2303,2303.TW,492,492,0,0.0,,,NOT_STALE,0,NONE,NONE,READY,,PASS_CLEAN,READY,,READY,,UNCHANGED
91,WSSEC:WS:ISIN:TW0002308004,WS:ISIN:TW0002308004,XTAI,2308,2308.TW,492,492,0,0.0,,,NOT_STALE,0,NONE,NONE,READY,,PASS_CLEAN,READY,,READY,,UNCHANGED
92,WSSEC:WS:ISIN:TW0002317005,WS:ISIN:TW0002317005,XTAI,2317,2317.TW,492,492,0,0.0,,,NOT_STALE,0,NONE,NONE,READY,,PASS_CLEAN,READY,,READY,,UNCHANGED
93,WSSEC:WS:ISIN:TW0002327004,WS:ISIN:TW0002327004,XTAI,2327,2327.TW,492,492,0,0.0,,,NOT_STALE,0,NONE,NONE,READY,,PASS_CLEAN,READY,,READY,,UNCHANGED
94,WSSEC:WS:ISIN:TW0002330008,WS:ISIN:TW0002330008,XTAI,2330,2330.TW,492,492,0,0.0,,,NOT_STALE,0,NONE,NONE,READY,,PASS_CLEAN,READY,,READY,,UNCHANGED
95,WSSEC:WS:ISIN:TW0002344009,WS:ISIN:TW0002344009,XTAI,2344,2344.TW,492,492,0,0.0,,,NOT_STALE,0,NONE,NONE,READY,,PASS_CLEAN,READY,,READY,,UNCHANGED
96,WSSEC:WS:ISIN:TW0002345006,WS:ISIN:TW0002345006,XTAI,2345,2345.TW,492,492,0,0.0,,,NOT_STALE,0,NONE,NONE,READY,,PASS_CLEAN,READY,,READY,,UNCHANGED
97,WSSEC:WS:ISIN:TW0002357001,WS:ISIN:TW0002357001,XTAI,2357,2357.TW,492,492,0,0.0,,,NOT_STALE,0,NONE,NONE,READY,,PASS_CLEAN,READY,,READY,,UNCHANGED
98,WSSEC:WS:ISIN:TW0002360005,WS:ISIN:TW0002360005,XTAI,2360,2360.TW,492,492,0,0.0,,,NOT_STALE,0,NONE,NONE,READY,,PASS_CLEAN,READY,,READY,,UNCHANGED
99,WSSEC:WS:ISIN:TW0002368008,WS:ISIN:TW0002368008,XTAI,2368,2368.TW,492,492,0,0.0,,,NOT_STALE,0,NONE,NONE,READY,,PASS_CLEAN,READY,,READY,,UNCHANGED
