WS_ID,Segment_ID,Primary_MIC,Primary_Ticker,Primary_Currency,Prior_Mapping_State,Prior_Yahoo_Symbol,Candidate_Yahoo_Symbol,Mapping_Source,Stock_Data_Request,Data_Returned,First_Bar_Date,Last_Completed_Bar_Date,Mapping_Current_State,Mapping_Current_Reason,Mapping_Override_Used,No_Identity_Promotion,Remediation_Action,Automatic_Override_Created
WS:XETR:FPE3_P.DE,EU_STOXX600,XETR,FPE3_p.DE,EUR,MAPPING_PRESENT_NOT_REVALIDATED,FPE3_p.DE,FPE3_P.DE,DERIVED_RULE_NORMALIZED,REQUESTED,False,,,MAPPING_DOWNLOAD_NO_DATA,NO_DATA_IN_BATCH,False,True,MANUAL_OVERRIDE_OR_PROVIDER_MAPPING_REVIEW,False
WS:XETR:FRAG.DE,EU_STOXX600,XETR,FRAG.DE,EUR,MAPPING_PRESENT_NOT_REVALIDATED,FRAG.DE,FRAG.DE,DERIVED_RULE_NORMALIZED,REQUESTED,False,,,MAPPING_DOWNLOAD_NO_DATA,NO_DATA_IN_BATCH,False,True,MANUAL_OVERRIDE_OR_PROVIDER_MAPPING_REVIEW,False
WS:XETR:FREG.DE,EU_STOXX600,XETR,FREG.DE,EUR,MAPPING_PRESENT_NOT_REVALIDATED,FREG.DE,FREG.DE,DERIVED_RULE_NORMALIZED,REQUESTED,False,,,MAPPING_DOWNLOAD_NO_DATA,NO_DATA_IN_BATCH,False,True,MANUAL_OVERRIDE_OR_PROVIDER_MAPPING_REVIEW,False
WS:XETR:FTKN.DE,EU_STOXX600,XETR,FTKn.DE,EUR,MAPPING_PRESENT_NOT_REVALIDATED,FTKn.DE,FTKN.DE,DERIVED_RULE_NORMALIZED,REQUESTED,False,,,MAPPING_DOWNLOAD_NO_DATA,NO_DATA_IN_BATCH,False,True,MANUAL_OVERRIDE_OR_PROVIDER_MAPPING_REVIEW,False
WS:XETR:G1AG.DE,EU_STOXX600,XETR,G1AG.DE,EUR,MAPPING_PRESENT_NOT_REVALIDATED,G1AG.DE,G1AG.DE,DERIVED_RULE_NORMALIZED,REQUESTED,False,,,MAPPING_DOWNLOAD_NO_DATA,NO_DATA_IN_BATCH,False,True,MANUAL_OVERRIDE_OR_PROVIDER_MAPPING_REVIEW,False
WS:XETR:G24N.DE,EU_STOXX600,XETR,G24n.DE,EUR,MAPPING_PRESENT_NOT_REVALIDATED,G24n.DE,G24N.DE,DERIVED_RULE_NORMALIZED,REQUESTED,False,,,MAPPING_DOWNLOAD_NO_DATA,NO_DATA_IN_BATCH,False,True,MANUAL_OVERRIDE_OR_PROVIDER_MAPPING_REVIEW,False
WS:XETR:GBFG.DE,EU_STOXX600,XETR,GBFG.DE,EUR,MAPPING_PRESENT_NOT_REVALIDATED,GBFG.DE,GBFG.DE,DERIVED_RULE_NORMALIZED,REQUESTED,False,,,MAPPING_DOWNLOAD_NO_DATA,NO_DATA_IN_BATCH,False,True,MANUAL_OVERRIDE_OR_PROVIDER_MAPPING_REVIEW,False
WS:XETR:HAGG.DE,EU_STOXX600,XETR,HAGG.DE,EUR,MAPPING_PRESENT_NOT_REVALIDATED,HAGG.DE,HAGG.DE,DERIVED_RULE_NORMALIZED,REQUESTED,False,,,MAPPING_DOWNLOAD_NO_DATA,NO_DATA_IN_BATCH,False,True,MANUAL_OVERRIDE_OR_PROVIDER_MAPPING_REVIEW,False
WS:XETR:HEIG.DE,EU_STOXX600,XETR,HEIG.DE,EUR,MAPPING_PRESENT_NOT_REVALIDATED,HEIG.DE,HEIG.DE,DERIVED_RULE_NORMALIZED,REQUESTED,False,,,MAPPING_DOWNLOAD_NO_DATA,NO_DATA_IN_BATCH,False,True,MANUAL_OVERRIDE_OR_PROVIDER_MAPPING_REVIEW,False
WS:XETR:HNKG_P.DE,EU_STOXX600,XETR,HNKG_p.DE,EUR,MAPPING_PRESENT_NOT_REVALIDATED,HNKG_p.DE,HNKG_P.DE,DERIVED_RULE_NORMALIZED,REQUESTED,False,,,MAPPING_DOWNLOAD_NO_DATA,NO_DATA_IN_BATCH,False,True,MANUAL_OVERRIDE_OR_PROVIDER_MAPPING_REVIEW,False
WS:XETR:HNRGN.DE,EU_STOXX600,XETR,HNRGn.DE,EUR,MAPPING_PRESENT_NOT_REVALIDATED,HNRGn.DE,HNRGN.DE,DERIVED_RULE_NORMALIZED,REQUESTED,False,,,MAPPING_DOWNLOAD_NO_DATA,NO_DATA_IN_BATCH,False,True,MANUAL_OVERRIDE_OR_PROVIDER_MAPPING_REVIEW,False
