WS_ID,Segment_ID,Primary_MIC,Primary_Ticker,Primary_Currency,Prior_Mapping_State,Prior_Yahoo_Symbol,Candidate_Yahoo_Symbol,Mapping_Source,Stock_Data_Request,Data_Returned,First_Bar_Date,Last_Completed_Bar_Date,Mapping_Current_State,Mapping_Current_Reason,Mapping_Override_Used,No_Identity_Promotion
WS:ISIN:TW0002327004,TW_TW50,XTAI,2327,TWD,MAPPING_PRESENT_NOT_REVALIDATED,2327,2327.TW,DERIVED_RULE,REQUESTED,True,2024-09-02,2026-09-01,MAPPING_DATA_CONFIRMED,TECHNICAL_PROVIDER_SERIES_AVAILABLE,False,True
WS:ISIN:TW0002330008,TW_TW50,XTAI,2330,TWD,MAPPING_PRESENT_NOT_REVALIDATED,2330,2330.TW,DERIVED_RULE,REQUESTED,True,2024-09-02,2026-09-01,MAPPING_DATA_CONFIRMED,TECHNICAL_PROVIDER_SERIES_AVAILABLE,False,True
WS:ISIN:TW0002344009,TW_TW50,XTAI,2344,TWD,MAPPING_PRESENT_NOT_REVALIDATED,2344,2344.TW,DERIVED_RULE,REQUESTED,True,2024-09-02,2026-09-01,MAPPING_DATA_CONFIRMED,TECHNICAL_PROVIDER_SERIES_AVAILABLE,False,True
WS:ISIN:TW0002345006,TW_TW50,XTAI,2345,TWD,MAPPING_PRESENT_NOT_REVALIDATED,2345,2345.TW,DERIVED_RULE,REQUESTED,True,2024-09-02,2026-09-01,MAPPING_DATA_CONFIRMED,TECHNICAL_PROVIDER_SERIES_AVAILABLE,False,True
WS:ISIN:TW0002357001,TW_TW50,XTAI,2357,TWD,MAPPING_PRESENT_NOT_REVALIDATED,2357,2357.TW,DERIVED_RULE,REQUESTED,True,2024-09-02,2026-09-01,MAPPING_DATA_CONFIRMED,TECHNICAL_PROVIDER_SERIES_AVAILABLE,False,True
WS:ISIN:TW0002360005,TW_TW50,XTAI,2360,TWD,MAPPING_PRESENT_NOT_REVALIDATED,2360,2360.TW,DERIVED_RULE,REQUESTED,True,2024-09-02,2026-09-01,MAPPING_DATA_CONFIRMED,TECHNICAL_PROVIDER_SERIES_AVAILABLE,False,True
WS:ISIN:TW0002368008,TW_TW50,XTAI,2368,TWD,MAPPING_PRESENT_NOT_REVALIDATED,2368,2368.TW,DERIVED_RULE,REQUESTED,True,2024-09-02,2026-09-01,MAPPING_DATA_CONFIRMED,TECHNICAL_PROVIDER_SERIES_AVAILABLE,False,True
WS:ISIN:TW0002382009,TW_TW50,XTAI,2382,TWD,MAPPING_PRESENT_NOT_REVALIDATED,2382,2382.TW,DERIVED_RULE,REQUESTED,True,2024-09-02,2026-09-01,MAPPING_DATA_CONFIRMED,TECHNICAL_PROVIDER_SERIES_AVAILABLE,False,True
WS:ISIN:TW0002383007,TW_TW50,XTAI,2383,TWD,MAPPING_PRESENT_NOT_REVALIDATED,2383,2383.TW,DERIVED_RULE,REQUESTED,True,2024-09-02,2026-09-01,MAPPING_DATA_CONFIRMED,TECHNICAL_PROVIDER_SERIES_AVAILABLE,False,True
WS:ISIN:TW0002395001,TW_TW50,XTAI,2395,TWD,MAPPING_PRESENT_NOT_REVALIDATED,2395,2395.TW,DERIVED_RULE,REQUESTED,True,2024-09-02,2026-09-01,MAPPING_DATA_CONFIRMED,TECHNICAL_PROVIDER_SERIES_AVAILABLE,False,True
