ws_id,yahoo_symbol,mapping_status,status,reason_code,unique_bars,valid_bars,repaired_rows,suspicious_returns,zero_volume_share,first_bar_date,last_bar_date,last_fetch_utc,batch_id,last_error
WS:XETR:BMWG.DE,BMWG.DE,FROZEN_V0_39_EXACT_RETRY,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,,,,2026-09-02T15:39:45+00:00,YF-20260902T153938424261-82639861,NO_DATA_IN_BATCH
WS:XETR:CBKG.DE,CBKG.DE,FROZEN_V0_39_EXACT_RETRY,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,,,,2026-09-02T15:39:45+00:00,YF-20260902T153938424261-82639861,NO_DATA_IN_BATCH
WS:XETR:CONG.DE,CONG.DE,FROZEN_V0_39_EXACT_RETRY,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,,,,2026-09-02T15:39:45+00:00,YF-20260902T153938424261-82639861,NO_DATA_IN_BATCH
WS:XETR:EVDG.DE,EVDG.DE,FROZEN_V0_39_EXACT_RETRY,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,,,,2026-09-02T15:39:45+00:00,YF-20260902T153938424261-82639861,NO_DATA_IN_BATCH
WS:XETR:FMEG.DE,FMEG.DE,FROZEN_V0_39_EXACT_RETRY,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,,,,2026-09-02T15:39:45+00:00,YF-20260902T153938424261-82639861,NO_DATA_IN_BATCH
WS:XETR:FRAG.DE,FRAG.DE,FROZEN_V0_39_EXACT_RETRY,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,,,,2026-09-02T15:39:45+00:00,YF-20260902T153938424261-82639861,NO_DATA_IN_BATCH
WS:XETR:FREG.DE,FREG.DE,FROZEN_V0_39_EXACT_RETRY,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,,,,2026-09-02T15:39:45+00:00,YF-20260902T153938424261-82639861,NO_DATA_IN_BATCH
WS:XETR:G1AG.DE,G1AG.DE,FROZEN_V0_39_EXACT_RETRY,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,,,,2026-09-02T15:39:45+00:00,YF-20260902T153938424261-82639861,NO_DATA_IN_BATCH
WS:XETR:GBFG.DE,GBFG.DE,FROZEN_V0_39_EXACT_RETRY,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,,,,2026-09-02T15:39:45+00:00,YF-20260902T153938424261-82639861,NO_DATA_IN_BATCH
WS:XETR:HAGG.DE,HAGG.DE,FROZEN_V0_39_EXACT_RETRY,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,,,,2026-09-02T15:39:45+00:00,YF-20260902T153938424261-82639861,NO_DATA_IN_BATCH
WS:XETR:HEIG.DE,HEIG.DE,FROZEN_V0_39_EXACT_RETRY,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,,,,2026-09-02T15:39:45+00:00,YF-20260902T153938424261-82639861,NO_DATA_IN_BATCH
WS:XETR:HOTG.DE,HOTG.DE,FROZEN_V0_39_EXACT_RETRY,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,,,,2026-09-02T15:39:45+00:00,YF-20260902T153938424261-82639861,NO_DATA_IN_BATCH
WS:XETR:LHAG.DE,LHAG.DE,FROZEN_V0_39_EXACT_RETRY,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,,,,2026-09-02T15:39:45+00:00,YF-20260902T153938424261-82639861,NO_DATA_IN_BATCH
WS:XETR:NAFG.DE,NAFG.DE,FROZEN_V0_39_EXACT_RETRY,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,,,,2026-09-02T15:39:45+00:00,YF-20260902T153938424261-82639861,NO_DATA_IN_BATCH
WS:XETR:NDXG.DE,NDXG.DE,FROZEN_V0_39_EXACT_RETRY,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,,,,2026-09-02T15:39:45+00:00,YF-20260902T153938424261-82639861,NO_DATA_IN_BATCH
WS:XETR:NEKG.DE,NEKG.DE,FROZEN_V0_39_EXACT_RETRY,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,,,,2026-09-02T15:39:45+00:00,YF-20260902T153938424261-82639861,NO_DATA_IN_BATCH
WS:XETR:PUMG.DE,PUMG.DE,FROZEN_V0_39_EXACT_RETRY,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,,,,2026-09-02T15:39:45+00:00,YF-20260902T153938424261-82639861,NO_DATA_IN_BATCH
WS:XETR:RAAG.DE,RAAG.DE,FROZEN_V0_39_EXACT_RETRY,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,,,,2026-09-02T15:39:45+00:00,YF-20260902T153938424261-82639861,NO_DATA_IN_BATCH
WS:XETR:RHMG.DE,RHMG.DE,FROZEN_V0_39_EXACT_RETRY,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,,,,2026-09-02T15:39:45+00:00,YF-20260902T153938424261-82639861,NO_DATA_IN_BATCH
WS:XETR:RWEG.DE,RWEG.DE,FROZEN_V0_39_EXACT_RETRY,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,,,,2026-09-02T15:39:45+00:00,YF-20260902T153938424261-82639861,NO_DATA_IN_BATCH
WS:XETR:SAPG.DE,SAPG.DE,FROZEN_V0_39_EXACT_RETRY,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,,,,2026-09-02T15:39:45+00:00,YF-20260902T153938424261-82639861,NO_DATA_IN_BATCH
WS:XETR:SHLG.DE,SHLG.DE,FROZEN_V0_39_EXACT_RETRY,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,,,,2026-09-02T15:39:45+00:00,YF-20260902T153938424261-82639861,NO_DATA_IN_BATCH
WS:XETR:SY1G.DE,SY1G.DE,FROZEN_V0_39_EXACT_RETRY,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,,,,2026-09-02T15:39:45+00:00,YF-20260902T153938424261-82639861,NO_DATA_IN_BATCH
WS:XETR:TEGG.DE,TEGG.DE,FROZEN_V0_39_EXACT_RETRY,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,,,,2026-09-02T15:39:45+00:00,YF-20260902T153938424261-82639861,NO_DATA_IN_BATCH
WS:XETR:TKAG.DE,TKAG.DE,FROZEN_V0_39_EXACT_RETRY,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,,,,2026-09-02T15:39:45+00:00,YF-20260902T153938424261-82639861,NO_DATA_IN_BATCH
WS:XETR:ZALG.DE,ZALG.DE,FROZEN_V0_39_EXACT_RETRY,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,,,,2026-09-02T15:39:45+00:00,YF-20260902T153938424261-82639861,NO_DATA_IN_BATCH
WS:XHEL:KCRA.HE,KCRA.HE,FROZEN_V0_39_EXACT_RETRY,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,,,,2026-09-02T15:39:45+00:00,YF-20260902T153938424261-82639861,NO_DATA_IN_BATCH
WS:XHEL:NDAFI.HE,NDAFI.HE,FROZEN_V0_39_EXACT_RETRY,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,,,,2026-09-02T15:39:45+00:00,YF-20260902T153938424261-82639861,NO_DATA_IN_BATCH
