Projection_Order,Security_Key,Source_WS_ID,Primary_MIC,Primary_Ticker,Primary_Universe_Index,feature_as_of_date,sync_cohort_size,peer_count,R20_num,R60_num,HomeMarket_PeerMedian_R20_v0_58,HomeMarket_PeerMedian_R60_v0_58,HomeMarket_RS20_Excess_v0_58,HomeMarket_RS60_Excess_v0_58,HomeMarket_RS_Reference_Type_v0_58
60,WSSEC:WS:ISIN:INE239A01024,WS:ISIN:INE239A01024,XNSE,NESTLEIND,IN_NIFTY50,2026-09-24,45,44,-0.068275862068965507,-0.065827654809926597,-0.045520409097169645,-0.0499230339123201,-0.022755452971795861,-0.015904620897606497,LEAVE_ONE_OUT_PRIMARY_UNIVERSE_COHORT_MEDIAN_SAME_ASOF
61,WSSEC:WS:ISIN:INE263A01024,WS:ISIN:INE263A01024,XNSE,BEL,IN_NIFTY50,2026-09-24,45,44,-0.046228710462287097,-0.0555354498756577,-0.045520409097169645,-0.0499230339123201,-0.00070830136511745162,-0.0056124159633375997,LEAVE_ONE_OUT_PRIMARY_UNIVERSE_COHORT_MEDIAN_SAME_ASOF
62,WSSEC:WS:ISIN:INE280A01028,WS:ISIN:INE280A01028,XNSE,TITAN,IN_NIFTY50,2026-09-24,45,44,-0.0596968101389359,0.078418222018192096,-0.045520409097169645,-0.051158645413177703,-0.014176401041766255,0.12957686743136981,LEAVE_ONE_OUT_PRIMARY_UNIVERSE_COHORT_MEDIAN_SAME_ASOF
63,WSSEC:WS:ISIN:INE296A01032,WS:ISIN:INE296A01032,XNSE,BAJFINANCE,IN_NIFTY50,2026-09-24,45,44,-0.093259464450600099,-0.035742364043053899,-0.045520409097169645,-0.051158645413177703,-0.047739055353430454,0.015416281370123804,LEAVE_ONE_OUT_PRIMARY_UNIVERSE_COHORT_MEDIAN_SAME_ASOF
64,WSSEC:WS:ISIN:INE397D01024,WS:ISIN:INE397D01024,XNSE,BHARTIARTL,IN_NIFTY50,2026-09-24,45,44,-0.0439226949131327,-0.042239973958333302,-0.046003916079232252,-0.051158645413177703,0.0020812211660995519,0.0089186714548444013,LEAVE_ONE_OUT_PRIMARY_UNIVERSE_COHORT_MEDIAN_SAME_ASOF
65,WSSEC:WS:ISIN:INE423A01024,WS:ISIN:INE423A01024,XNSE,ADANIENT,IN_NIFTY50,2026-09-24,45,44,-0.084884821710318706,-0.087332808811958998,-0.045520409097169645,-0.0499230339123201,-0.039364412613149061,-0.037409774899638898,LEAVE_ONE_OUT_PRIMARY_UNIVERSE_COHORT_MEDIAN_SAME_ASOF
66,WSSEC:WS:ISIN:INE437A01024,WS:ISIN:INE437A01024,XNSE,APOLLOHOSP,IN_NIFTY50,2026-09-24,45,44,0.010056818181818101,0.022136614535418399,-0.046003916079232252,-0.051158645413177703,0.056060734261050349,0.073295259948596106,LEAVE_ONE_OUT_PRIMARY_UNIVERSE_COHORT_MEDIAN_SAME_ASOF
67,WSSEC:WS:ISIN:INE467B01029,WS:ISIN:INE467B01029,XNSE,TCS,IN_NIFTY50,2026-09-24,45,44,-0.0717843396877509,0.0091387754225091006,-0.045520409097169645,-0.051158645413177703,-0.026263930590581255,0.060297420835686802,LEAVE_ONE_OUT_PRIMARY_UNIVERSE_COHORT_MEDIAN_SAME_ASOF
68,WSSEC:WS:ISIN:INE481G01011,WS:ISIN:INE481G01011,XNSE,ULTRACEMCO,IN_NIFTY50,2026-09-24,45,44,-0.056413757787829602,-0.041608876560332797,-0.045520409097169645,-0.051158645413177703,-0.010893348690659957,0.009549768852844906,LEAVE_ONE_OUT_PRIMARY_UNIVERSE_COHORT_MEDIAN_SAME_ASOF
69,WSSEC:WS:ISIN:INE522F01014,WS:ISIN:INE522F01014,XNSE,COALINDIA,IN_NIFTY50,2026-09-24,45,44,0.054999999999999903,-0.038505340923905999,-0.046003916079232252,-0.051158645413177703,0.10100391607923215,0.012653304489271704,LEAVE_ONE_OUT_PRIMARY_UNIVERSE_COHORT_MEDIAN_SAME_ASOF
