JSE_ISIN,JSE_Issuer_Name,JSE_Issue_Description,JSE_Number_of_Securities,JSE_Nominal_Value,JSE_Currency_Code,JSE_Instrument_Type,JSE_Alpha_Code,JSE_Instrument_Version,JSE_Legacy_Field,JSE_Issuer_Registration_Number,JSE_Issuer_Income_Tax_Number,JSE_Trailing
ZAE000281481,27Four Collective Investments (RF) (Pty) Ltd,Mianzo CPI 3% 27four Fund A2,000000000000000,0000000000000,ZAC,UT,MACIA2,000,,2015/291620/07,,   
ZAE000281499,27Four Collective Investments (RF) (Pty) Ltd,MIANZO EQUITY 27four FUND A2,000000000000000,0000000000000,ZAC,UT,MEACA2,000,,2015/291620/07,,   
ZAE000285227,27Four Collective Investments (RF) (Pty) Ltd,MIANZO EQUITY 27four FUND B1,000000000000000,0000000000000,ZAC,UT,MEAFB1,000,,2015/291620/07,,   
ZAE000285888,27Four Collective Investments (RF) (Pty) Ltd,TSB Balanced 27four Fund,000000000000000,0000000000000,ZAC,UT,THBFA1,000,,2015/291620/07,,   
ZAE000286548,27Four Collective Investments (RF) (Pty) Ltd,Balondolozi Bond 27four Fund A1,000000000000000,0000000000000,ZAC,UT,BALOA1,000,,2015/291620/07,,   
ZAE000286555,27Four Collective Investments (RF) (Pty) Ltd,Balondolozi Bond 27four Fund A2,000000000000000,0000000000000,ZAC,UT,BALOA2,000,,2015/291620/07,,   
ZAE000364683,27Four Collective Investments (RF) (Pty) Ltd,27four Balanced FoF B7,000000000000000,0000000000000,ZAC,UT,27BFB7,000,,2015/291620/07,,   
ZAE000364691,27Four Collective Investments (RF) (Pty) Ltd,27four Asset Select FoF,000000000000000,0000000000000,ZAC,UT,27AFB7,000,,2015/291620/07,,   
ZAE000280798,27Four Collective Investments (RF) (Pty) Ltd,Mianzo CPI 3% ACI Fund A1,000000000000000,0000000000000,ZAC,UT,MCAFA1,000,,2015/291620/07,,   
ZAE000280806,27Four Collective Investments (RF) (Pty) Ltd,Mianzo CPI 3% ACI Fund B3,000000000000000,0000000000000,ZAC,UT,MCAFB3,000,,2015/291620/07,,   
ZAE000280814,27Four Collective Investments (RF) (Pty) Ltd,Mianzo Equity ACI Fund B3,000000000000000,0000000000000,ZAC,UT,MEAFB3,000,,2015/291620/07,,   
ZAE000280822,27Four Collective Investments (RF) (Pty) Ltd,Mianzo Equity ACI Fund A1,000000000000000,0000000000000,ZAC,UT,MEAFA1,000,,2015/291620/07,,   
ZAE000348249,27Four Collective Investments (RF) (Pty) Ltd,Prow MM 274 Fund B6,000000000000000,0000000000000,ZAC,UT,P27FB6,000,,2015/291620/07,,   
ZAE000348256,27Four Collective Investments (RF) (Pty) Ltd,Wealthvest Sh E 274 W,000000000000000,0000000000000,ZAC,UT,WHE27W,000,,2015/291620/07,,   
ZAE000354775,27Four Collective Investments (RF) (Pty) Ltd,Mianzo Equity 274 F B2,000000000000000,0000000000000,ZAC,UT,MEFFB2,000,,2015/291620/07,,   
ZAE000355699,27Four Collective Investments (RF) (Pty) Ltd,Mianzo CPI3 27F B2,000000000000000,0000000000000,ZAC,UT,MCFFB2,000,,2015/291620/07,,   
ZAE000362083,27Four Collective Investments (RF) (Pty) Ltd,27four Sha Inc Fnd B6,000000000000000,0000000000000,ZAC,UT,FSIFB6,000,,2015/291620/07,,   
ZAE000364675,27Four Collective Investments (RF) (Pty) Ltd,27four Stable FoF B7,000000000000000,0000000000000,ZAC,UT,27SFB7,000,,2015/291620/07,,   
ZAE000342291,27Four Collective Investments (RF) (Pty) Ltd,Excelsia Eqty 274 Fd A5,000000000000000,0000000000000,ZAC,UT,EXCFA5,000,,2015/291620/07,,   
ZAE000342333,27Four Collective Investments (RF) (Pty) Ltd,Balondolozi Bond27fr FA8,000000000000000,0000000000000,ZAC,UT,BALFA8,000,,2015/291620/07,,   
ZAE000343133,27Four Collective Investments (RF) (Pty) Ltd,Cap Link Part Sta In C,000000000000000,0000000000000,ZAC,UT,CLPSFC,000,,2015/291620/07,,   
ZAE000343802,27Four Collective Investments (RF) (Pty) Ltd,Wealthv Sha Eq 27four A,000000000000000,0000000000000,ZAC,UT,WSEFA,000,,2015/291620/07,,   
ZAE000343810,27Four Collective Investments (RF) (Pty) Ltd,Wealthv Sha Eq 27four  B,000000000000000,0000000000000,ZAC,UT,WSEFB,000,,2015/291620/07,,   
ZAE000343828,27Four Collective Investments (RF) (Pty) Ltd,Wealthv Sha Eq 27four  C,000000000000000,0000000000000,ZAC,UT,WSEFC,000,,2015/291620/07,,   
ZAE000324760,27Four Collective Investments (RF) (Pty) Ltd,Mianzo Money Market 27four Fd A1,000000000000000,0000000000000,ZAC,UT,MMMFA1,000,,2015/291620/07,,   
ZAE000324778,27Four Collective Investments (RF) (Pty) Ltd,Mianzo Money Market 27four Fd B1,000000000000000,0000000000000,ZAC,UT,MMMFB1,000,,2015/291620/07,,   
ZAE000333837,27Four Collective Investments (RF) (Pty) Ltd,Excelsia Balanced 27four Fund A2,000000000000000,0000000000000,ZAC,UT,EX27A2,000,,2015/291620/07,,   
