WS_ID,Yahoo_Symbol,ISIN,Primary_MIC,Issuer,Admission_Status,History_State,Liquidity_Class,MedianTurnover20_EUR,Eligibility_DryRun,Universe_Write
US1:US1729081059:XNAS,CTAS,US1729081059,XNAS,Cintas,ADMIT,PASS,PREFERRED,291211512.96,ELIGIBLE,NO
US1:US17275R1023:XNAS,CSCO,US17275R1023,XNAS,Cisco,ADMIT,PASS,PREFERRED,1523299869.4,ELIGIBLE,NO
US1:US1729674242:XNYS,C,US1729674242,XNYS,Stellantis North America,ADMIT,PASS,PREFERRED,863825463.42,ELIGIBLE,NO
US1:US1746101054:XNYS,CFG,US1746101054,XNYS,Citizens Financial Group,ADMIT,PASS,PREFERRED,171727360.62,ELIGIBLE,NO
US1:US1890541097:XNYS,CLX,US1890541097,XNYS,Clorox,ADMIT,PASS,PREFERRED,193069336.68,ELIGIBLE,NO
US1:US12572Q1058:XNAS,CME,US12572Q1058,XNAS,CME Group,ADMIT,PASS,PREFERRED,412483460.63,ELIGIBLE,NO
US1:US1258961002:XNYS,CMS,US1258961002,XNYS,CMS Energy,ADMIT,PASS,PREFERRED,196178456.62,ELIGIBLE,NO
US1:US1912161007:XNYS,KO,US1912161007,XNYS,The Coca-Cola Company,ADMIT,PASS,PREFERRED,1088956433.09,ELIGIBLE,NO
US1:US1924461023:XNAS,CTSH,US1924461023,XNAS,Cognizant Technology Solutions,ADMIT,PASS,PREFERRED,318653805.59,ELIGIBLE,NO
US1:US19260Q1076:XNAS,COIN,US19260Q1076,XNAS,Coinbase,ADMIT,PASS,PREFERRED,1287811144.82,ELIGIBLE,NO
US1:US1941621039:XNYS,CL,US1941621039,XNYS,Colgate-Palmolive Company,ADMIT,PASS,PREFERRED,309883754.34,ELIGIBLE,NO
US1:US20030N2001:XNAS,CMCSA,US20030N2001,XNAS,Comcast,ADMIT,PASS,PREFERRED,467743028.89,ELIGIBLE,NO
US1:US1999081045:XNYS,FIX,US1999081045,XNYS,Comfort Systems USA,ADMIT,PASS,PREFERRED,498572335.65,ELIGIBLE,NO
US1:US20825C1045:XNYS,COP,US20825C1045,XNYS,ConocoPhillips,ADMIT,PASS,PREFERRED,706440433.46,ELIGIBLE,NO
US1:US2091151041:XNYS,ED,US2091151041,XNYS,Consolidated Edison,ADMIT,PASS,PREFERRED,195091520.03,ELIGIBLE,NO
US1:US21036P1084:XNYS,STZ,US21036P1084,XNYS,Constellation Brands,ADMIT,PASS,PREFERRED,184253320.72,ELIGIBLE,NO
US1:US2166484020:XNYS,COO,US2166484020,XNYS,The Cooper Companies,ADMIT,PASS,PREFERRED,96170275.67,ELIGIBLE,NO
US1:US2172041061:XNAS,CPRT,US2172041061,XNAS,Copart,ADMIT,PASS,PREFERRED,234729296.63,ELIGIBLE,NO
US1:US2193501051:XNYS,GLW,US2193501051,XNYS,Corning Inc.,ADMIT,PASS,PREFERRED,1156982882.21,ELIGIBLE,NO
US1:US3390411052:XNYS,CPAY,US3390411052,XNYS,Corpay,ADMIT,PASS,PREFERRED,164827611.11,ELIGIBLE,NO
US1:US22052L1044:XNYS,CTVA,US22052L1044,XNYS,Corteva,ADMIT,PASS,PREFERRED,279855576.84,ELIGIBLE,NO
US1:US22160K1051:XNAS,COST,US22160K1051,XNAS,Costco,ADMIT,PASS,PREFERRED,1415279788.45,ELIGIBLE,NO
US1:US22788C1053:XNAS,CRWD,US22788C1053,XNAS,CrowdStrike,ADMIT,PASS,PREFERRED,1498019092.08,ELIGIBLE,NO
US1:US2310211063:XNYS,CMI,US2310211063,XNYS,Cummins,ADMIT,PASS,PREFERRED,442786537.97,ELIGIBLE,NO
US1:US1266501006:XNYS,CVS,US1266501006,XNYS,CVS Health,ADMIT,PASS,PREFERRED,525770860.01,ELIGIBLE,NO
US1:US2358511028:XNYS,DHR,US2358511028,XNYS,Danaher Corporation,ADMIT,PASS,PREFERRED,526127400.95,ELIGIBLE,NO
US1:US2371941053:XNYS,DRI,US2371941053,XNYS,Darden Restaurants,ADMIT,PASS,PREFERRED,172148408.34,ELIGIBLE,NO
US1:US23804L1035:XNAS,DDOG,US23804L1035,XNAS,Datadog,ADMIT,PASS,PREFERRED,798467100.66,ELIGIBLE,NO
US1:US23918K1088:XNYS,DVA,US23918K1088,XNYS,DaVita,ADMIT,PASS,PREFERRED,84357432.06,ELIGIBLE,NO
US1:US2441991054:XNYS,DE,US2441991054,XNYS,Deere & Company,ADMIT,PASS,PREFERRED,637290845.96,ELIGIBLE,NO
US1:US2473617023:XNYS,DAL,US2473617023,XNYS,Delta Air Lines,ADMIT,PASS,PREFERRED,335357520.08,ELIGIBLE,NO
US1:US25179M1036:XNYS,DVN,US25179M1036,XNYS,Devon Energy,ADMIT,PASS,PREFERRED,362453563.58,ELIGIBLE,NO
