Issuer_Key,Primary_MIC,Canonical_WS_ID,Canonical_Ticker,ISIN,Group_N,Eligibility_DryRun,Note
Q193326,XNYS,US1:US38141G1040:XNYS,GS,US38141G1040,1,ELIGIBLE,unapplied to 1633
Q357095,XNYS,US1:US4062161017:XNYS,HAL,US4062161017,1,ELIGIBLE,unapplied to 1633
Q444110,XNYS,US1:US4165151048:XNYS,HIG,US4165151048,1,ELIGIBLE,unapplied to 1633
Q324029,XNAS,US1:US4180561072:XNAS,HAS,US4180561072,1,ELIGIBLE,unapplied to 1633
Q1630431,XNYS,US1:US40412C1018:XNYS,HCA,US40412C1018,1,ELIGIBLE,unapplied to 1633
Q905086,XNAS,US1:US8064071025:XNAS,HSIC,US8064071025,1,ELIGIBLE,unapplied to 1633
Q1056637,XNYS,US1:US4278661081:XNYS,HSY,US4278661081,1,ELIGIBLE,unapplied to 1633
Q19923099,XNYS,US1:US42824C1099:XNYS,HPE,US42824C1099,1,ELIGIBLE,unapplied to 1633
Q1057464,XNYS,US1:US43300A2033:XNYS,HLT,US43300A2033,1,ELIGIBLE,unapplied to 1633
Q864407,XNYS,US1:US4370761029:XNYS,HD,US4370761029,1,ELIGIBLE,unapplied to 1633
Q5893992,XNAS,US1:US43849R1059:XNAS,HONA,US43849R1059,1,HISTORY_FAILURE,unapplied to 1633
Q898208,XNYS,US1:US4385161066:XNYS,HON,US4385161066,1,ELIGIBLE,unapplied to 1633
Q1454852,XNYS,US1:US4404521001:XNYS,HRL,US4404521001,1,ELIGIBLE,unapplied to 1633
Q21036456,XNYS,US1:US4435106079:XNYS,HUBB,US4435106079,1,ELIGIBLE,unapplied to 1633
Q910866,XNYS,US1:US4448591028:XNYS,HUM,US4448591028,1,ELIGIBLE,unapplied to 1633
Q7257522,XNYS,US1:US4464131063:XNYS,HII,US4464131063,1,ELIGIBLE,unapplied to 1633
Q37156,XNYS,US1:US4592001014:XNYS,IBM,US4592001014,1,ELIGIBLE,unapplied to 1633
Q5970002,XNYS,US1:US45167R1041:XNYS,IEX,US45167R1041,1,ELIGIBLE,unapplied to 1633
Q1758392,XNAS,US1:US45168D1046:XNAS,IDXX,US45168D1046,1,ELIGIBLE,unapplied to 1633
Q1510378,XNYS,US1:US4523081093:XNYS,ITW,US4523081093,1,ELIGIBLE,unapplied to 1633
Q6015591,XNAS,US1:US45337C1027:XNAS,INCY,US45337C1027,1,ELIGIBLE,unapplied to 1633
Q248,XNAS,US1:US4581401001:XNAS,INTC,US4581401001,1,ELIGIBLE,unapplied to 1633
Q3901581,XNAS,US1:US45841N1072:XNAS,IBKR,US45841N1072,1,ELIGIBLE,unapplied to 1633
Q841458,XNYS,US1:US45866F1049:XNYS,ICE,US45866F1049,1,ELIGIBLE,unapplied to 1633
Q1666568,XNYS,US1:US4595061015:XNYS,IFF,US4595061015,1,ELIGIBLE,unapplied to 1633
Q202972,XNYS,US1:US4601461035:XNYS,IP,US4601461035,1,ELIGIBLE,unapplied to 1633
Q1318848,XNAS,US1:US4612021034:XNAS,INTU,US4612021034,1,ELIGIBLE,unapplied to 1633
Q2743863,XNAS,US1:US46120E6023:XNAS,ISRG,US46120E6023,1,ELIGIBLE,unapplied to 1633
Q305473,XNYS,US1:US46266C1053:XNYS,IQV,US46266C1053,1,ELIGIBLE,unapplied to 1633
Q4041705,XNAS,US1:US4456581077:XNAS,JBHT,US4456581077,1,ELIGIBLE,unapplied to 1633
Q2171646,XNYS,US1:US4663131039:XNYS,JBL,US4663131039,1,ELIGIBLE,unapplied to 1633
Q6113060,XNAS,US1:US4262811015:XNAS,JKHY,US4262811015,1,ELIGIBLE,unapplied to 1633
Q3157622,XNYS,US1:US4698141078:XNYS,J,US4698141078,1,ELIGIBLE,unapplied to 1633
Q333718,XNYS,US1:US4781601046:XNYS,JNJ,US4781601046,1,ELIGIBLE,unapplied to 1633
Q192314,XNYS,US1:US46625H1005:XNYS,JPM,US46625H1005,1,ELIGIBLE,unapplied to 1633
Q118905792,XNYS,US1:US49177J1025:XNYS,KVUE,US49177J1025,1,ELIGIBLE,unapplied to 1633
Q1740314,XNYS,US1:US4932671088:XNYS,KEY,US4932671088,1,ELIGIBLE,unapplied to 1633
Q17551096,XNYS,US1:US49338L1035:XNYS,KEYS,US49338L1035,1,ELIGIBLE,unapplied to 1633
Q1741634,XNYS,US1:US4943681035:XNYS,KMB,US4943681035,1,ELIGIBLE,unapplied to 1633
Q931032,XNYS,US1:US49456B1017:XNYS,KMI,US49456B1017,1,ELIGIBLE,unapplied to 1633
Q1570773,XNYS,US1:US48248M1027:XNYS,KKR,US48248M1027,1,ELIGIBLE,unapplied to 1633
Q624649,XNAS,US1:US4824801009:XNAS,KLAC,US4824801009,1,ELIGIBLE,unapplied to 1633
Q19681433,XNAS,US1:US5007541064:XNAS,KHC,US5007541064,1,ELIGIBLE,unapplied to 1633
Q153417,XNYS,US1:US5010441013:XNYS,KR,US5010441013,1,ELIGIBLE,unapplied to 1633
Q30291091,XNYS,US1:US5024311095:XNYS,LHX,US5024311095,1,ELIGIBLE,unapplied to 1633
Q4921980,XNYS,US1:US50540R4092:XNYS,LH,US50540R4092,1,ELIGIBLE,unapplied to 1633
Q1342041,XNAS,US1:US5128071082:XNAS,LRCX,US5128071082,1,ELIGIBLE,unapplied to 1633
Q1506045,XNYS,US1:US5178341070:XNYS,LVS,US5178341070,1,ELIGIBLE,unapplied to 1633
Q502132,XNYS,US1:US5253271028:XNYS,LDOS,US5253271028,1,ELIGIBLE,unapplied to 1633
Q16981175,XNYS,US1:US5260571048:XNYS,LEN,US5260571048,1,ELIGIBLE,unapplied to 1633
Q224751,XNYS,US1:US5261071071:XNYS,LII,US5261071071,1,ELIGIBLE,unapplied to 1633
Q632240,XNYS,US1:US5324571083:XNYS,LLY,US5324571083,1,ELIGIBLE,unapplied to 1633
Q1061903,XNYS,US1:US5380341090:XNYS,LYV,US5380341090,1,ELIGIBLE,unapplied to 1633
Q7240,XNYS,US1:US5398301094:XNYS,LMT,US5398301094,1,ELIGIBLE,unapplied to 1633
Q826526,XNYS,US1:US5404241086:XNYS,L,US5404241086,1,ELIGIBLE,unapplied to 1633
Q1373493,XNYS,US1:US5486611073:XNYS,LOW,US5486611073,1,ELIGIBLE,unapplied to 1633
Q6702957,XNAS,US1:US5500211090:XNAS,LULU,US5500211090,1,ELIGIBLE,unapplied to 1633
Q106253770,XNAS,US1:US55024U1097:XNAS,LITE,US55024U1097,1,ELIGIBLE,unapplied to 1633
Q3272257,XNYS,US1:US55261F1049:XNYS,MTB,US55261F1049,1,ELIGIBLE,unapplied to 1633
Q458363,XNYS,US1:US56585A1025:XNYS,MPC,US56585A1025,1,ELIGIBLE,unapplied to 1633
Q1121894,XNAS,US1:US5719032022:XNAS,MAR,US5719032022,1,ELIGIBLE,unapplied to 1633
Q6776123,XNYS,US1:US5732841060:XNYS,MLM,US5732841060,1,ELIGIBLE,unapplied to 1633
Q1347782,XNAS,US1:US5738741041:XNAS,MRVL,US5738741041,1,ELIGIBLE,unapplied to 1633
Q6782872,XNYS,US1:US5745991068:XNYS,MAS,US5745991068,1,ELIGIBLE,unapplied to 1633
Q489921,XNYS,US1:US57636Q1040:XNYS,MA,US57636Q1040,1,ELIGIBLE,unapplied to 1633
Q1915049,XNYS,US1:US5797802064:XNYS,MKC,US5797802064,1,ELIGIBLE,unapplied to 1633
Q38076,XNYS,US1:US5801351017:XNYS,MCD,US5801351017,1,ELIGIBLE,unapplied to 1633
Q570473,XNYS,US1:US58155Q1031:XNYS,MCK,US58155Q1031,1,ELIGIBLE,unapplied to 1633
Q156959,XNYS,US1:US58933Y1055:XNYS,MRK,US58933Y1055,1,ELIGIBLE,unapplied to 1633
Q380,XNAS,US1:US30303M1027:XNAS,META,US30303M1027,1,ELIGIBLE,unapplied to 1633
Q607131,XNYS,US1:US59156R1086:XNYS,MET,US59156R1086,1,ELIGIBLE,unapplied to 1633
Q680186,XNYS,US1:US5926881054:XNYS,MTD,US5926881054,1,ELIGIBLE,unapplied to 1633
Q568532,XNYS,US1:US5529531015:XNYS,MGM,US5529531015,1,ELIGIBLE,unapplied to 1633
Q1545076,XNAS,US1:US5950171042:XNAS,MCHP,US5950171042,1,ELIGIBLE,unapplied to 1633
Q1197548,XNAS,US1:US5951121038:XNAS,MU,US5951121038,1,ELIGIBLE,unapplied to 1633
Q2283,XNAS,US1:US5949181045:XNAS,MSFT,US5949181045,1,ELIGIBLE,unapplied to 1633
Q17081612,XNAS,US1:US60770K1079:XNAS,MRNA,US60770K1079,1,ELIGIBLE,unapplied to 1633
Q3319685,XNYS,US1:US60871R2094:XNYS,TAP,US60871R2094,1,ELIGIBLE,unapplied to 1633
Q12857502,XNAS,US1:US6092071058:XNAS,MDLZ,US6092071058,1,ELIGIBLE,unapplied to 1633
