WS_ID,Yahoo_Symbol,Yahoo_Mapping_Status,Primary_Ticker,Primary_MIC,Primary_Currency
WS:ISIN:TW0002317005,2317.TW,EXPLICIT,2317,XTAI,TWD
WS:US:VEEV,VEEV,EXPLICIT,VEEV,,USD
WS:US:NOC,NOC,EXPLICIT,NOC,,USD
WS:US:MRSH,MRSH,EXPLICIT,MRSH,,USD
WS:XSHG:603799,603799.SS,EXPLICIT,603799,XSHG,CNY
WS:XSHG:600309,600309.SS,EXPLICIT,600309,XSHG,CNY
WS:ISIN:TW0008046004,8046.TW,EXPLICIT,8046,XTAI,TWD
WS:XTKS:6861,6861.T,EXPLICIT,6861,XTKS,JPY
WS:US:MCO,MCO,EXPLICIT,MCO,,USD
WS:US:OKTA,OKTA,EXPLICIT,OKTA,,USD
WS:US:IR,IR,EXPLICIT,IR,,USD
WS:US:FAST,FAST,EXPLICIT,FAST,,USD
WS:US:CTVA,CTVA,EXPLICIT,CTVA,,USD
WS:XSHE:000858,000858.SZ,EXPLICIT,000858,XSHE,CNY
WS:US:NUE,NUE,EXPLICIT,NUE,,USD
WS:XSHG:600150,600150.SS,EXPLICIT,600150,XSHG,CNY
WS:XTKS:5802,5802.T,EXPLICIT,5802,XTKS,JPY
WS:US:UAL,UAL,EXPLICIT,UAL,,USD
WS:US:AKAM,AKAM,EXPLICIT,AKAM,,USD
WS:US:ELV,ELV,EXPLICIT,ELV,,USD
WS:US:KEYS,KEYS,EXPLICIT,KEYS,,USD
WS:US:KHC,KHC,EXPLICIT,KHC,,USD
WS:XSHG:688126,688126.SS,EXPLICIT,688126,XSHG,CNY
WS:XTAI:3711,3711.TW,EXPLICIT,3711,XTAI,TWD
WS:ISIN:TW0002383007,2383.TW,EXPLICIT,2383,XTAI,TWD
WS:XSHE:002709,002709.SZ,EXPLICIT,002709,XSHE,CNY
WS:US:XYZ,XYZ,EXPLICIT,XYZ,,USD
WS:US:JBL,JBL,EXPLICIT,JBL,,USD
WS:US:FICO,FICO,EXPLICIT,FICO,,USD
WS:US:ONTO,ONTO,EXPLICIT,ONTO,,USD
WS:XSHG:600362,600362.SS,EXPLICIT,600362,XSHG,CNY
WS:US:ODFL,ODFL,EXPLICIT,ODFL,,USD
WS:US:PNC,PNC,EXPLICIT,PNC,,USD
WS:XSHE:000333,000333.SZ,EXPLICIT,000333,XSHE,CNY
WS:XSHG:600118,600118.SS,EXPLICIT,600118,XSHG,CNY
WS:US:SWKS,SWKS,EXPLICIT,SWKS,,USD
WS:XSHE:002558,002558.SZ,EXPLICIT,002558,XSHE,CNY
WS:US:GWW,GWW,EXPLICIT,GWW,,USD
WS:US:ROK,ROK,EXPLICIT,ROK,,USD
WS:XSHE:300014,300014.SZ,EXPLICIT,300014,XSHE,CNY
WS:US:KR,KR,EXPLICIT,KR,,USD
WS:XSHG:600547,600547.SS,EXPLICIT,600547,XSHG,CNY
WS:XTKS:3436,3436.T,EXPLICIT,3436,XTKS,JPY
WS:US:TSCO,TSCO,EXPLICIT,TSCO,,USD
