WS_ID,Yahoo_Symbol,Yahoo_Mapping_Status,Primary_Ticker,Primary_MIC,Primary_Currency
WS:XTSE:BBUC,BBUC.TO,EXPLICIT,BBUC,XTSE,CAD
WS:XTSE:BCE,BCE.TO,EXPLICIT,BCE,XTSE,CAD
WS:XTSE:BDGI,BDGI.TO,EXPLICIT,BDGI,XTSE,CAD
WS:XTSE:BDT,BDT.TO,EXPLICIT,BDT,XTSE,CAD
WS:XTSE:BEI.UN,BEI-UN.TO,EXPLICIT,BEI.UN,XTSE,CAD
WS:XTSE:BEP.UN,BEP-UN.TO,EXPLICIT,BEP.UN,XTSE,CAD
WS:XTSE:BHC,BHC.TO,EXPLICIT,BHC,XTSE,CAD
WS:XTSE:BIP.UN,BIP-UN.TO,EXPLICIT,BIP.UN,XTSE,CAD
WS:XTSE:BIR,BIR.TO,EXPLICIT,BIR,XTSE,CAD
WS:XTSE:BMO,BMO.TO,EXPLICIT,BMO,XTSE,CAD
WS:XTSE:BN,BN.TO,EXPLICIT,BN,XTSE,CAD
